name,place_id,type,rating,reviews,website,cities_count,cities_seen,pack_positions
"Clima BCN",9211604632322470202,"Servicio de reparación de aire acondicionado",5.0,8,"https://www.clima-bcn.com/",1,"sabadell","sabadell:2"
"Climagisa",9102841070733923168,"Servicio de reparación de aire acondicionado",4.9,35,"http://www.climagisa.com/",1,"barcelona","barcelona:1"
"RM CLIMATIZACIÓN AEROTERMIA Y REFRIGERACIÓN",5883393374671258138,"Empresa de climatización",4.9,268,"",1,"barcelona","barcelona:2"
"Aire Acondicionado Proman",4292729949196307132,"Servicio de reparación de aire acondicionado",5.0,6,"https://tecnicoaireacondicionadovalencia.es/",1,"valencia","valencia:2"
"Clic Reparación",2321759893257222529,"Servicio de reparación de aire acondicionado",5.0,11,"https://clicreparacion.com/sabadell/",1,"sabadell","sabadell:1"
"REPARACIÓN E INSTALACIÓN DE AIRES ACONDICIONADOS",2044474941507162460,"Tienda aire acondicionado",4.8,20,"",1,"madrid centro","madrid centro:2"
"Clima Solution",10559026353930838,"Servicio de reparación de aire acondicionado",4.8,137,"https://climasolution.es/",1,"valencia","valencia:1"
"SAT IberiaClima Reparacion de Aire Acondicionado",6230068309358382820,"Empresa de climatización",5.0,3,"",1,"madrid centro","madrid centro:3"
"NOVAMYR Instalación Aire Acondicionado Reparación y mantenimiento",9897003322426497271,"Servicio de reparación de aire acondicionado",5.0,28,"",1,"madrid centro","madrid centro:1"
"Aire Clim",14963950273173889559,"Servicio de reparación de aire acondicionado",4.8,172,"https://aireclim.com/",1,"valencia","valencia:3"
"Tecno clima",10050797502662777956,"Empresa de climatización",4.8,26,"http://www.tecnoclima.com.es/",1,"terrassa","terrassa:3"
"Reparacion Aire Acondicionado | Reparacion Caldera | Nevera | Electrodomesticos",4276857783599134980,"Servicio de reparación de aire acondicionado",4.8,45,"https://reparaciondeaireacondicionado.net/",1,"barcelona","barcelona:3"
"APFCLIMA",13654358845115004068,"Empresa de climatización",5.0,65,"http://apfclima.es/",1,"terrassa","terrassa:2"
"AIR-CONFORT VALLÈS, SL",3974052503315282149,"Servicio de reparación de aire acondicionado",4.5,32,"https://airconfortvalles.com/es/",1,"sabadell","sabadell:3"
"Clic Reparación Terrassa",11744125826552521902,"Servicio de reparación de aire acondicionado",4.8,45,"https://clicreparacion.com/terrassa/",1,"terrassa","terrassa:1"
