"feature","pct_A","pct_B","replicable","dificultad","diff_A_minus_B","signal"
"Rating >= 4.8","100","90","NO","hard","10","weak"
"Reviews > 100","20","20","NO","hard","0","weak"
"Reviews > 30","60","40","NO","hard","20","SIGNAL"
"GBP posts activos (mes)","60","10","SI","easy","50","SIGNAL"
"Web accesible/funcional","60","90","SI","easy","-30","SIGNAL"
"Schema LocalBusiness/HVAC","20","30","SI","easy","-10","weak"
"FAQ en pagina","40","20","SI","easy","20","SIGNAL"
"H1 con keyword+ciudad","40","30","SI","easy","10","weak"
"NAP en footer","60","60","SI","easy","0","weak"
"Telefono en header","60","60","SI","easy","0","weak"
"Blog activo","40","10","SI","medium","30","SIGNAL"
"URL /ciudad/ o /servicio-ciudad","40","30","SI","easy","10","weak"
"Imagenes GBP > 10","0","0","SI","easy","0","weak"
"OG:image configurada","20","40","SI","easy","-20","SIGNAL"
"FAQPage schema","0","0","SI","easy","0","weak"
"HTTPS","80","90","SI","easy","-10","weak"
