"name","city","position","website"
"Clima BCN","sabadell","2","https://www.clima-bcn.com/"
"RM CLIMATIZACIÓN AEROTERMIA Y REFRIGERACIÓN","barcelona","2",
"Aire Acondicionado Proman","valencia","2","https://tecnicoaireacondicionadovalencia.es/"
"REPARACIÓN E INSTALACIÓN DE AIRES ACONDICIONADOS","madrid centro","2",
"SAT IberiaClima Reparacion de Aire Acondicionado","madrid centro","3",
"Aire Clim","valencia","3","https://aireclim.com/"
"Tecno clima","terrassa","3","http://www.tecnoclima.com.es/"
"Reparacion Aire Acondicionado | Reparacion Caldera | Nevera | Electrodomesticos","barcelona","3","https://reparaciondeaireacondicionado.net/"
"APFCLIMA","terrassa","2","http://apfclima.es/"
"AIR-CONFORT VALLÈS, SL","sabadell","3","https://airconfortvalles.com/es/"
